,clean_tweet,label
261,الوضع باجر بالافنيو غير المطعمين ,Pro-vaccine
262,الكرسي الكهربائي، متى وزارة التربية لا للتطعيم الاجباري الحرية الطبية غياب جماعي,Anti-vaccine
263,كل فعل سيئ له حوبه ما في شك ملاحظة : الحوبه يعني كارما او سوء منقلب لا للتطعيم الاجباري ,Anti-vaccine
264,اكتشفت ان الغباء بالمناديب يتحور بين فترة والثانية وعلى حسب التحور يفصلون علينا لا للتطعيم الاجباري,Anti-vaccine
265,دعوة لرفع الإغلاق⁉ حسب الإحصائيات وصلنا تقريباً ل لمن قاموا بالتطعيم وعلاوة على ذلك الملقح والغير ملقح أصبحوا سيان ولا فرق بينهما من حيث نقل المرض بالتالي الأجدر العودة للحياة الطبيعية مع الأخذ بالاحتياطات من تباعد وكمام وإن شاء الله يؤديان الغرض‼ لا للتطعيم الاجباري,Pro-vaccine
266,لا لا من صجكم والله 🤦‍ طعموا حماية لكم وللجنين نعم للتطعيم ,Pro-vaccine
267, لا للتطعيم الاجباري الهاشتاق يجلط 🤣🤣 لو بكمل فيه بتهاوش مع الكل,Pro-vaccine
268,لقاحات كورونا مازالت تجريبية والكارثة إنها ستجرب على أبنائنا‼ لذلك أرجوا من النواب وخصوصاً الأستاذ: شعيب المويزري وكذلك دكتور:حسن جوهر وأيضاً دكتور:عبيد الوسمي أن يفعلوا شيئاً لمنعها قبل أن يقع الفأس بالرأس‼ لا للتطعيم الاجباري,Anti-vaccine
269, انا طعمت ،، نبيها تكمل ,Pro-vaccine
270,لله الحمد خذيت توني أول جرعة حرصاً ع سلامة أجدادي وأحبابي بالبيت وخارجه وإنتفاضة ضد نظرية المؤامرة المزعجة التي تدب الخوف بين البشر والله خير حافظاً وهو أرحم الراحمين نعم للتطعيم لقاح كوفيد ,Pro-vaccine
272,زين لكم جذي يعني لا للتطعيم الاجباري ,Anti-vaccine
273,في ناس غريبة تستفز الدكاتره بأسئلة بعيدة عن المنطق واسلوب تحدي باستهزاء ولما يرد الدكتور عليهم بمثل اسلوبهم يعلقون عالتغريده ان هذا مو اسلوب دكتور طيب انتو شتبون بالضبط نعم للتطعيم,Pro-vaccine
274,هذه نتائج سكوتنا على التطعيم الاجباري وغيره من الممارسات الشاذه ترحيل عبدالله هو ترحيل لحقوقنا اللي يكفلها الدستور واللي يتعدى على كرامه المقيم اليوم باجر يدوس ببطن المواطن و لن نسمح لكم لا لترحيل عبدالله لا للتطعيم الاجباري,Anti-vaccine
275,في شيكاغو هذه احصائياتهم الاولاد واقل من ماتوا من كوفيد اقل ممن ماتوا بطلق ناري في بلادنا الحمد لله على نعمة الامان ماعندنا اطفال تموت مقتولة السؤال بكل شفافية ماعدد اطفالنا الذين ماتوا بكوفيد في عام لا للتطعيم الاجباري لا لتطعيم الاطفال ,Anti-vaccine
276,قصة قديمة على مر الأجيال، للتو فقط تعرفنا عليها رسم هزلي في عام م، يُصور إدوارد جينر يقوم بتطعيم الناس بمرض جدري البقر، فتخرج الابقار من اجسادهم لا للتطعيم الاجباري ,Anti-vaccine
277,الف مبروك يا ابطال الحرية الطبية تنتصر مسار الحرية ,Anti-vaccine
278, الكويت عندما يفقد العامة ثقتهم بحكوماتهم وعندما توفر الحكومات التطعيم فيصبح المقتنع في نظر العامة موالي للحكومة وغير المقتنع في التطعيم معارض للحكومة لذلك اهيب بمن له علاقة ان ينتقي تصريحاته حتى لا تحدث كارثة عجن السياسة بالعلمفيحترق الخبز نعم للتطعيم,Pro-vaccine
279,صديقتي اصاب اهلها كورونا بعد زواره العيد وامها و ابوها كذلك و فيهم اعراض لو ماكانو مطعمين الجرعتين جان الحين اهما بالعنايه بمستشفى جابر الحمدلله على نعمه التطعيم حافظو على احبابكم نعم للتطعيم,Pro-vaccine
280,قسما بالله امرأة نعم لكنها بألف رجل ممن يطبلون ل اللقاح الكاذب و الفايرس الاكذب لا يغشونك لا للتطعيم الاجباري ,Anti-vaccine
281, ههههه و احتمال بعد ماتغرد الا لما تتطعم 🤙 لا للتطعيم الاجباري,Anti-vaccine
283,عندنا نعمة وقاعدين نرفسها مع الأسف، مع ان تراثنا المحلي فيه مثل ينقال له النعمة زوالة نعم للتطعيم ,Pro-vaccine
284,طاف علينا اكثر من اسبوع وين الجرعه الثانيه من تطعيم اوكسفورد وين جرعتي الثانية نبي الجرعة الثانية ,Pro-vaccine
285,انا ضد التطعيم الاجباري ضد التضييق على الغير مطعمين ضد القيود على التنقل مثل السفر ودخول المطاعم والمقاهي والأندية الصحية ضد الفاشية الطبية كلنا لنا حرية الاختيار مسار الحرية,Anti-vaccine
286,وصل مسج التطعيم حق امي الجرعة الثانية,Pro-vaccine
288,أنا زومبي محمد الحملي و دافي و عبودكا Ana zombie via عقب التطعيم زومبي نعم للتطعيم,Pro-vaccine
289,مو قادر اصبر ابي اصير زومبي اليوم 🧟 هلا بالجرعة الثالثة نعم للتطعيم ,Pro-vaccine
290,ذنبنا برقبتكم كلنا اللي ليلحين ناطرين الجرعة الثانية من اكسفورد ,Pro-vaccine
291,مفيش في أي قانون ولا عرف حاجه إجباري، خصوصاً إن تأثير اللقاح لسه هيبدأ يظهر، والفيرس بيضعف، الموضوع سياسي تجاري ومحدش فاهم حاجه، الصين بلا كورونا، بس هانت كل حاجه هنعرفها في القريب العاجل نرفض اللقاح الاجباري,Anti-vaccine
292,تعدادنا السكاني وهذا العدد قليل ويفترض حمايته من قبل الدولة وليس زجه في أتون لقاحات تجريبية وغير معروفة بمكوناتها وفضلاً عن ذلك لا تحصن المتطعم عن المرض أو عن نقله للآخرين والأخطر أن ولا جهة تتحمل مسؤولية أضراره الجانبية‼ ساحة الإرادة لا للتطعيم الاجباري,Anti-vaccine
293, لا للتطعيم الاجباري نرفض التطعيم التجريبي نرفض التطعيم الإجباري نرفض التطعيم الذي لايحمي من جميع الفايروسات التطعيم صنع في حاله طارئه ولم ياخذ الوقت الكافي لدراسه ولا يعرف النتائج في المستقبل الصحه العالميه تقول ،،، التطعيم إختياري وليس إجباري ,Anti-vaccine
294,التطعيم هو السبيل للعودة للحياة الطبيعية شكراً دكتور يوسف اخذ موعد للتطعيم وحافظ على صحتك وصحة احبابك نعم للتطعيم ,Pro-vaccine
295,اللهم ارفع عنّا البلاء وأدفع الوباء وأنزل رحمتك ولُطفك على عِبادك يارب العالمين تم التطعيم,Pro-vaccine
296, لا للتطعيم الاجباري انا من اخذت التطعيم الثاني تحديدا فايزر وحايشني صداع مزمن لدرجه حطيت لي موعد لاشعه الرنين باذن الله دام فيه حالات وفاة اكثر من شخص واللي اخذ اللقاح قاعدينصاب بفايرس كورونا اذن مامنه فايده والمفروض على هالحال مايكون الزامي ,Anti-vaccine
297,انا مابي اطعم وانا ادرس برا ، اذا الجامعه قرروا الدوام حضور مو اونلاين شلون راح اسافر واكمل دراستي ولا اللي درسته كله اقطه بحر ولا يوقف قيدي ، صج الديره كوميديا والله نرفض اللقاح الاجباري Nuks,Anti-vaccine
298,الناس الي للحين ضد التطعيم ودي اخذكم زيارة العناية المركزه تشوفون بعيونكم او تشوفون مريض يشاهق لانه مختنق مو قادر ياخذ نفس يمكن شوي تحسون مع التطعيم,Pro-vaccine
299,قواهم الله قواهم الله نعم للتطعيم ,Pro-vaccine
300,اللي ماخذين اللقاح اول سفره نرفض اللقاح الإجباري مجلس الوزراء كورونا كوفيد COVID وزير الصحه نرفض التلقيح الاجباري فيروس كورونا الصفوف الاماميه الكويت ,Anti-vaccine
301, مجلس الوزراء سؤال للمعنيين في البلاد ،،، هل جميع عوايل الشيوخ و التجار أخذوا تطعيم اللقاح ضد كورونا هل يطبق عليهم منع السفر حق الغير مطعمين 🤔 ,Anti-vaccine
302,انبح صوتهم الاطباء 🤦‍ التطعيم اصبح واجب وليس اختيار التطعيم وقايه ,Pro-vaccine
303, لماذا تشارك الدولة التركية بالمؤامرة على الشعب وتفرض عليه الل*قا ح المشبوه ولا يتكلم احد منكم بالموضوع، أم انكم مساهمين بشركة فايزر وأخواتها، المظاهرات تتعاظم رغم محاولات تهميشها، الشعوب تصحو لا للتطعيم الاجباري ,Anti-vaccine
304,هذه القرارات القراقوشية متوقعة من مجلس الوزراء‼ ولكن أين أعضاء مجلس الأمة عنها⁉ وكيف يحق لهم أن يجبروا الناس على لقاحات مازالت تحت التجربة وتستخدم فقط عند الطوارىء⁉ المصيبة الكبرى يريدون أن يجبروا فلذات أكبادنا على تلك الطعوم المشبوهة‼وعليه لا ثم لا للتطعيم الاجباري,Anti-vaccine
305,أجرني من الحزن بِشَكّةِ إبرة زين نعم للتطعيم ,Pro-vaccine
306,لاني ابي الحياة ترجع طبيعية تطعمت لاني متضامن مع صحة مجتمعنا تطعمت لاني اخاف على نفسي و اهلي واصدقائي تطعمت لاني شفت شكثر خسرنا احباب بسبب كورونا تطعمت نعم للتطعيم,Pro-vaccine
307,أصحاب المشاريع الصغيرة والمتوسطة يتفاعلون مع مبادرة خصم التطعيم التطعيم مركز الكويت التطعيم الكويت وزارة الإعلام الكويت ,Pro-vaccine
308, نعم للتطعيم التطعيم اثبت فاعلية كبيرة جدًا في جميع دول العالم وإذا نبي نطلع من هذي الأزمة على خير لابد ان كل كويتي يأخذ اللقاح ,Pro-vaccine
309,قاعدلكم باجر الصبح نطروا🤬 لا للتطعيم الاجباري,Anti-vaccine
310,شعيب المويزري: لايحق للحكومة إجبار الشعب على التطعيم ولامنع غير المطعمين من السفر ولن أسمح لأحد باجراء فحص الـ PCR الأسبوعي لأبنائي حتى لو تم فصلهم التاسعة لا للتطعيم الاجباري ,Pro-vaccine
311,لا حول ولا قوة الا بالله … لا تعليق لا للتطعيم الاجباري ,Anti-vaccine
312, نعم للتطعيم التطعيم حماية التطعيم واجب اتجاه الوطن و المجتمع,Pro-vaccine
313,احد عنده خبر ايجابي لا للتطعيم الاجباري,Anti-vaccine
314,عددٍ الاصابات تحت ال حالة الحمدلله رب العالمين بالتطعيم نقدر نعم للتطعيم ,Pro-vaccine
315,مع تأييدي لفكرة عدم التضييق على غير المطعمين لكن أرفض ان يخلط البعض السم بالعسل الشيوخ لهم التقدير والاحترام ولا ينبغي التعرض لشخوصهم ساحة الإرادة لا للتطعيم الاجباري,Pro-vaccine
316, انا مشاركة في صناعة مسار الحرية,Anti-vaccine
317,كثر السؤال بالخاص انا مطعم جرعتين أوكسفورد هل آخذ الجرعة الثالثة الجرعة التنشيطية فايزر الجواب نعم الافضل والاحسن هو أخذ الجرعة الثالثة فايزر او موديرنا وليس أوكسفورد خصوصاً لكبار السن ومنخفضي المناعة وهذه التوصيات المعمول بها في بريطانيا و كندا ,Pro-vaccine
318, كلوب هاوس إمرأة ماخذة اللقاح أمس تسأل الدكتور وتقول له: أمس طعمت وآنا فيني مرض السيلياك وبعد التطعيم احتجت للاسعاف الطبي لأني تحسست واختنقت إجابة الدكتور: ماكو أي علاقة بين التطعيم واللي صار معاچ 🤷‍🤣🤣🤣,Anti-vaccine
319,ما ودك تزور الرياض وتشوف مهرجانهم ما ودك تاخذ كروز يفرك بجزر الكاريبي ما ودك تزور أدغال أفريقيا وتاخذ سفاري ما ودك تزور باكو أذربيجان ما ودك تروح كانكون المكسيك ما ودك تبيعها وتاخذ كروز للقطب الجنوبي ما ودك تزور دول يديدة طعم عزيزي خنخلص ونحقق أحلامك نعم للتطعيم ,Pro-vaccine
320,بين فترة والاخرى تطل علينا السلطات الصحية بين مؤتمر صحفي ومقاطع توعوية للحث على اللقاح الشعب ما ينفع معاه كلام من مختصين او مقاطع تمللهم لاقناعهم دفعوا حق فاشنستات خل يقولون لا يطوفكم اللقاح، وايد مريح وحده روعه وانصح متابعيني فيه، ويلا بسرعة قبل لا تخلص الكمية نعم للتطعيم,Pro-vaccine
322,التحديد بين المحصن و غير المحصن ليكون العام عند المعلمين و المعلمات و ليس للتفريق بين الطلبه حتى وان كان هذا الامر غير مقبول ان يتم التمييز ولكن على الاقل هذه المدرسة اسلوبها راقي مو نفس المدرسه الهابطه اللي حاطه صورة مريض 🤧 لغير المحصن العودة للمدارس لا للتطعيم الاجباري ,Anti-vaccine
323,لكل من يثير الفتنة المنتصر مستمر الحرية الطبية مسار الحرية ساحة الارادة عالمنا الحر يتجلى ,Anti-vaccine
324, طعم عشان تاكل فيه قريباً نعم للتطعيم ,Pro-vaccine
325,في السابق كنت أعتقد نفسك لكن ليمن شفنا بالأرقام عدد الموتى في العالم صدقت إن كوڤيد و دلتا موجودين لذلك يا بو جهل لا تنشر وباء الغباء والإستنباطات الغبية اللي تخلي الناس يضحكون عليك تبا لأشكالك اللي ما تهمهم مصلحة الآخرين، إنت شخص يجب على الدولة محاسبتك نعم للتطعيم الاجباري ,Pro-vaccine
326,الرسول صلى الله عليه وسلم أفضل شخصية بالتاريخ بالمنظور الأسلامي والغربي لم تتفق عليه البشرية حينها فهذا الأمر الوحيد الذي يدفعني الي تقبل فكرة أن هناك بشر يحاربون فكرة التطعيم طبعا مع أختلاف التشبيه وكلي احترام لمن يرفع لواء ضد التطعيم نعم للتطعيم,Pro-vaccine
327,مجموعة من الأيتام في أمريكا من الذين فقدوا أمهاتهم بسبب اللقاح اجتمعوا ليقدموا هذه الرسالة لا للتطعيم الاجباري ,Anti-vaccine
328,اخواني الغير مطعمين كان الله في عونكم وهذا حالنا في القادم من الايام الكويت لا للتطعيم الاجباري مجلس الوزارء ,Anti-vaccine
329,خبر عاجل:ترفض إدارة الغذاء والدواء FDA حقنات فايزر المعززة لمعظم الناس‼ نرجوا من الجهات المعنية أن تأخذ هذا الخبر المهم بعين الاعتبار وكفى تطعيمات تجريبية‼ Breaking news: FDA rejects Pfizer ‼booster shots for most لا للتطعيم الاجباري معلمون ضد الاجبار,Anti-vaccine
332, يوم الجمعة منظمه الصحه العالميه تقول : من المتوقع إصابه الأشخاص المطعمين بلقاحات كورونا ب الفايروس أميكرون لماذا تجبرون الناس أخذ اللقاح الثالث و الرابع و الخامس 🤣🤣 ,Anti-vaccine
333,لا تتركي احد يطفئ النور الذي بداخلك لا تسرقها لا للتطعيم الاجباري نتائج الثانوية العامة العاشرة يا اهلي ,Anti-vaccine
334,الذي لم يأخذ التطعيم يحرم من السفر والدخول للمجمعات والسينما وحتى الحلاق ويأتيك أحد المحامين ويقول أن التطعيم مازال غير إجباري لا أدري الإجبار كيف يكون في عرف هذا القانوني الألمعي⁉ لا للتطعيم الاجباري,Anti-vaccine
335,كل عايلتنا طعمت الحمدلله نعم للتطعيم ,Pro-vaccine
336,تطعمت لأني أبي الحياة ترجع طبيعية لأني طبيب مسؤول عن صحة الناس وأخاف عليهم لأني ماراح أسامح نفسي اذا تسببت في عدوى لمرضاي او شخص عزيز علي لأني أخاف على عيالي وأهلي وأحبابي وأنت ليش تطعمت نعم للتطعيم ,Pro-vaccine
337,بـ فضل الله لم اعاني من اي اضرار اتكلم عن نفسي وعن المحيط الي عندي بلغ عن اضرار اللقاح ,Pro-vaccine
339,تصبحون على تطعيم نعم للتطعيم ,Pro-vaccine
342,طعموا ومن تحبون نعم للتطعيم ,Pro-vaccine
343,اليوم اقنعت ربع ولدي يسجلون و يقنعون اهلهم و بدز لهم فيديو للدكتور يوسف شمس الدين نعم للتطعيم,Pro-vaccine
345, يقول تعالى وقوله الحق لا تلقوا بإيديكم الى التهلكه منظمة الصحه العالميه مازال اللقاح تحت الدراسه الى عام سعودي يشجع على اللقاح لانه طعم وتوهق والمشكله ديرته مسويه هاشتاق رفع القيود مطلب س,Anti-vaccine
346,استغرب من الهجوم الممنهج وحملات تشويه اللقاح والحث على عدم التطعيم انا الان موجود في مستشفى جابر والوفيات بالدقايق وخلال دقايق فقط حالتين وفاه ولا راح تعرفون قيمة اللقاح ومعنى المرض الا عند فقدان احد عزيز عليكم لا للتطعيم الاجباري,Pro-vaccine
347,مو كل دكتور قال كلمتين انقلوها الأكاونتات الإخبارية ترا في منهم لا يفقهون شي ويناقضون نفسهم أقوى نوع في منهم شد حيله بعد ما المتناقض العود صار وزير حسوا في أمل لا للتطعيم الاجباري,Anti-vaccine
349,اللي مو مطعمين هم صباحكم حلو بس أستحلفكم بالله طعموا خل يستمر هالجو نعم للتطعيم ,Pro-vaccine
350, الحريه الطبيه اقسم بالله والله شاهد على كلامي اعرف شخصين وهم يغردون دائما ضد اللقاح مع الهبة وهم غير مختصين ويخدعون الناس بنشر الاشاعات والفبركات وهم مسافرين الان ومطعمين واقولهم ليش عيل تحضون الناس ضد التطعيم يقولون لاجل الشهرة وزيادة رتويت فنصيحة طعموا ولا تصدقون هالاشكال,Pro-vaccine
351,تحت عنوان لانكم تستاهلون مطعم نهمه يقدم خصم بنسبة ٪ لخطوط الدفاع الأولى للقضاء على فايروس كرونا المستجد وزارة الداخليه وزارة الصحه الطيران المدني ,Pro-vaccine
352,شكرا فايزر نظمتي حياتنا وصلاتنا خاصة بعد انتهاء موسم الرياض لا للتطعيم الاجباري ,Anti-vaccine
353,طالما أن اللقاحات مازالت تحت التجربة فكل إنسان حر بعدم أخذ اللقاح ولا لتكميم الأفواه و لا للتطعيم الاجباري‼,Anti-vaccine
354,الحمدالله على نعمة الكويت الغالية ،، جهود كبيرة يقومون بها ابطال الصفوف الامامية ، فهم يشعرون بتعب شديد لذلك يجب ان نقف معهم ونساعدهم في ازمة كوفيد ونخفف عليهم التعب ونبادر بالتطعيم ، بوركت جهود كل العاملين من موظفين ومتطوعين ،، شكراً لكم ،، و نعم للتطعيم ,Pro-vaccine
355,الشرطة ترفس لابسي الكمامة عند اعتراضهم مجموعة من الأحرار أصحاب الضمير فعلا عالمنا الحر يتجلى مسار الحرية امتنان بحجم السماء للدكتور و المفكر الكويتي الكبير ,Anti-vaccine
356, كلوب هاوس إمرأة ماخذة اللقاح أمس تسأل الدكتور وتقول له: أمس طعمت وآنا فيني مرض السيلياك وبعد التطعيم احتجت للاسعاف الطبي لأني تحسست واختنقت إجابة الدكتور: ماكو أي علاقة بين التطعيم واللي صار معاچ 🤷‍🤣🤣🤣,Anti-vaccine
359,مساء الخير انا ما طعمت لسببين لاني اخذ جرعة الكورتيزون مع ابرة methotrexate للروماتويد والسبب الثاني اخذ plavix للسيوله ليالي الكويت,Pro-vaccine
360, لا للتطعيم الاجباري الطريق إلى الافنيوز مسكر و الناس فوق بعضها شكله الوضع إلحق ما تلحق اتوقع نسبة الغير مطعمين كبيرة و الدليل الفوضى اللي في الافنيوز,Anti-vaccine
362,مؤتمر صحفي يشرح خطورة المتحور الجديد يشرح فعالية التطعيم يشرح عدد المتطعمين ونسبة الإصابة بين المتطعمين ومقارنتها مع غير المتطعمين يشرح أي اثارة جانبية صاحبت التطعيم ينبه الناس إلى أهمية التطعيم والإجراءات الوقائية وزارة الصحة المتحور الهندي بالكويت,Pro-vaccine
363,لولا فضل الله، ثم فضل التطعيمات: لكنّا لازلنا نرى مرضى مشوهين ومرضى يموتون من الجدري Variola الذي يسببه ڤايروس الجدري Smallpox الشرس، والذي تصل نسبة الوفاة منه من إلى ٪ تم القضاء على الڤايروس سنة بعد حملة التطعيمات العالمية التي قادتها منظمة الصحة العالمية نعم للتطعيم ,Pro-vaccine
364,لا للتطعيم الالزامي وعتبنا على نواب الامه اللي صمتوا عن هذه الممارسات الظالمه في حقنا كشعب كويتي الانتفاضة مطلوبه بوجه هؤلاء الخونه الخانعين والصامتين عن حقوقنا قرار التطعيم الالزامي يجب ان يلغى فورا لا للتطعيم الاجباري الكويت ,Anti-vaccine
365,الى ساحة الاراده لا للتطعيم الاجباري,Anti-vaccine
366,مستعد اطعم اربع بعد ولا تحوشني كورونا مره ثانيه مطعم جرعتين وارفض الثالثه,Pro-vaccine
367, لازلنا نكرر السؤال إسأل الصحة : متى الجرعة الثانية من تطعيم أكسفورد يرجى التوضيح بأي طريقة لأن حان وقت التطعيم ,Pro-vaccine
368,قرار مجلس الوزراء بالسماح بالسفر الي اخذوا تطعيمتين او تطعيمه او حاشه كورونا من قبل وأخذ لقاح يقدر يسافر خطوه قويه للأمام يا تتطعم او تنطق بالكويت مسأله نرفض اللقاح الإجباري هذا الشيء ما يفيدك تبي الأمان موجود باللقاح بعد الله,Pro-vaccine
369, طعمت @ ارض المعارض قاعه ,Pro-vaccine
370,طبيبة من ساحة الإرادة: نعيش حرب عالمية لإبادة الجنس العربي والخليجي تحديداً ,Anti-vaccine
371, لا للتطعيم الاجباري نعم للتطعيم وبانتظار الجرعة الثالثة شهر ,Pro-vaccine
372, لا للتطعيم الاجباري هذا الموضوع يخليني أقل أدبي و أنسجن أتمنى ما تشدون حيلكم و تطبقونه لانه العموم بيقوم عليكم ,Anti-vaccine
373,لن ترى الحقيقة مادمت في خصومه لا للتطعيم الاجباري,Anti-vaccine
374,التطعيم ضروري لعودة الحياة الطبيعية باسرع مما نتوقع النسبة حسب اخر احصائية امس وصلت فقط وهذا الرقم متدني جدا بالنسبة للدول التي حولنا اذا وصل فوق او اكثر تعود الحياة الى طبيعتها ونسافر ونروح مجمعات ويفتح كل شيء الكويت التطعيم اخذ اللقاح لتعود الحياة,Pro-vaccine
375,استشاري الأطفال في مستشفى جابر د دانة الحقان: قريبون من تحقيق المناعة المجتمعية و نبيها مليون الكويت Trends نعم للتطعيم وزارة الإعلام الأخبار ,Pro-vaccine
376, احلى بحر بحر كويتنا نظيف وقريب ولا خسائر فلوس كثيره وما يحتاج سفر و لا للتطعيم الاجباري ,Anti-vaccine
377,اليوم نسيت أقول لكم نعم للتطعيم ,Pro-vaccine
378,في احد الدول قاموا بتطبيق التطعيم الاجباري ويدزون مسج بتاريخ التطعيم واللي ما يطعم يدفع غرامه ماليه اتمنى تطبيق هالقانون بالكويت كوفيد ,Pro-vaccine
379,هل الطبيب يستطيع أن يعالج مرض ممكن يخفف ألم بوصف أدوية يربط بها المريض للأبد غير مكترثا بالأعراض الجانبية ومسبب الألم كحالة المريض النفسية مثلا الطبيب ليس ملاك فهو غالبا لا يضيف لمريضه الا مرضا ليستمر بأخذ ما في جيبه و لا عزاء لصحة المريض المسكين لا للتطعيم الاجباري ,Anti-vaccine
380,ضرب الأعور على عينه فقال : هي عوراء أصلا على وزن هي خاربة خاربة خلينا نعميها ريح بالك لا للتطعيم الاجباري,Anti-vaccine
381,تجربتي مع كورونا 🦠 ولله الحمد اني ماخذه التطعيم جرعتين من مارس فايزر / حسيت بإحتقان بسيط جدا لايذكر وكحه خفيفه جداا / نفس الاعراض سويت مسحه كا اطمئنان زايد على الناس اللي حولي خصوصا النادي كوني يوميا اروح طلعت ايجابيه لكن اليوم انا اقولكم / مافيني شي 🤲 نعم للتطعيم ,Pro-vaccine
383,أخذ اللقاح لا يؤدي إلى الإصابة بفايروس كورونا نعم للتطعيم ,Pro-vaccine
384,أنواع الموافقه: الموافقه الخطيه الموافقه اللفظيه الموافقه الضمنيه لو أُعلِم الوالدين بأي طريقه ما بموعد حملة التطعيم في المدرسه، ولو حضر الطفل للمدرسه فقد حصلت الموافقه الضمنيه ⃣ الحرية الطبية COVID متضرري اللقاح ساحة الإرادة لا للتطعيم الاجباري ,Anti-vaccine
385,ياجماعة مدارس الحكومة قاعده تسوي باجات للطلبة مطعم وغير مطعم كذا معلمة بالحكومه اكدت هالشي ان يايتهم توجيهات وزارة التربية اتقوا الله في اعيالنا تفرقه ,Anti-vaccine
386,يبنالكم فيديو بعد، يالله سجلوا بالتطعيم خنخلص نعم للتطعيم ,Pro-vaccine
387,احتفالات في نيويورك لعودة الحياة لطبيعتها وملاعب كرة القدم في أوروبا تضج بالجماهير وبالرغم من عدم أخذ الجميع للقاح عندهم‼ وبالمقابل عندنا حسبما تقول مصادر الصحة أن أخذوا اللقاح وبدلاً من عودة الحياة لطبيعتها نفاجأ بقرارات تعسفية وغير منطقية‼ لا للتطعيم الاجباري,Anti-vaccine
388,يا جماعة السالفة مو سالفة مطعم و غير مطعم السالفة سالفة قمع للحريات الشخصية، انك تبين للشعب ان الغير متطعم سبب بانتشار المرض يسبب نزاعات للي عقولهم صغيرة مع الاسف ، بالنهاية المتطعم طعم باختياره و ليس مجبر غير صحيح اجبار الغير متطعم على التطعيم لا للتطعيم الاجباري,Anti-vaccine
389,بالمناسبة أقول للبعض من المطعمين ممن تفاجأوا أو لم يسعدهم موضوع رفع القيود الجائرة على الغير مطعمين عليكم أن تتقدموا بجزيل الشكر للصامدين لأكثر من سنة على رفضهم للتطعيمات التجريبية‼ فلولاهم بعد الله سبحانه لكنتم تأخذون التطعيمات إلى مالا نهاية‼ الحرية الطبية تنتصر,Anti-vaccine
390,اصحى يا نايم وحد الدايم لن امتثل ,Anti-vaccine
391,أرفض أي مادة تدخل جسدي جسدي وكيفي غصب تعطوني شي ما ابيه نرفض ربط اللقاح بالسفر,Anti-vaccine
392,احصائية عدد زوار المجمعات التجاريه والمطاعم خلال الفتره القادمه ستكشف لنا ان عدد المطعمين لا يتجاوز ٪ من الشعب كما تدعي الجهات الرسمية لا للتطعيم الاجباري كفاكم كذب الكويت ,Anti-vaccine
394, أستاذه عبير شلون أعبر لج عن حبي وامتناني ادري واصل لك شكرا من قلب قلب قلبي ياحبيبتنا ياطيبة ياحنونه بلسم يابخته يستاهل احببببببكم الحرية الطبية تنتصر مسار الحرية عالمنا الحر يتجلى,Anti-vaccine
395,الشعب الفرنسي يطلب حريته رافضين الاجبار على التطعيم رافضين ال QR code رافضين الدخول للأماكن العامة بشهادة التطعيم رافضين التمييز بين المطعمين والغير مطعمين الحرية الطبية ,Anti-vaccine
397, مساء الخير الأشياء اَلمستودعہ َ لرب اَلعبآد لآ تضَيع ٱبدًا آَستودعَتك ربيَ كل شيَء أحَبه و يُحبه قلبيَ لا للتطعيم الاجباري,Anti-vaccine
399, نعم للتطعيم تم بحمد الله تطعيم الكبار والصغار من عيالنا المراهقين اكبر من سنة مافي مثل الكويت كلنا دكتور باسل ,Pro-vaccine
400,لو كان التطعيم علاج فعال أخذته و اذا تبون تقولون لي وقايه وايد خذو التطعيم و حاشهم الفايروس و اذا تبون تقولون الاعراض تحوشك أخف من اللي ما طعم في ناس ماتو و اهم مطعمين لا للتطعيم الاجباري ,Anti-vaccine
401,قررات عشوائية وغير مدروسة ومن يتحمل كل ذلك هي الأمة ، والله عيب كبير أن المرء يخطأ ويجعل الأمة من تتحمل عقباه تصحيح الأخطاء من قبلكم وليس منا نحن ، لاحول ولاقوة إلا بالله العلي العظيم لا للتطعيم الاجباري قرارات مجلس الوزراء,Anti-vaccine
402,بسكم تخرع بالأوادم طعموا ومن تحبون ها مو شغلك احنا شنو نسوي واذا التطعيم هو طوق النجاة لك من مرض الخوف و الرعب اللي جاك بعد اللي شفته بالعناية أنت طعّم ومن تحب عوافي عليكم انت إخترت ما تريد صح خلاص اترك الناس تقرر ما تريد No hard feelings لا للتطعيم الاجباري ,Pro-vaccine
403,اللي يقول التطعيم فيه شريحه وتشتغل مع Gوايد ناس تطعموا ولله الحمد والنت بالديره صاير بطيء نعم للتطعيم,Pro-vaccine
405,القاح هدفه اقتصادي بحت لتتنفيع الشركات العالمية لا للتطعيم الاجباري,Anti-vaccine
406,التطعيم مو اجباري بس لا للتطعيم الاجباري,Anti-vaccine
407,زين لكم جذي يعني لا للتطعيم الاجباري ,Anti-vaccine
408,متى جرعتنا الثانية يا صحة ، لقاح اكسفورد ,Pro-vaccine
409,العقل الذي يؤمن بنظرية مؤامرة بهذه السذاجة لا أحد يريد أن يسيطر عليه أساسا نعم للتطعيم,Pro-vaccine
410,اول مره اشوف جذي اعداد دخول مرضى الباطنيه اقل من اعداد دخول مرضى الكورونا بالخفاره نعم للتطعيم تكفى ,Pro-vaccine
411, طعمت @ ارض المعارض قاعه ,Pro-vaccine
